dataset,source,target,epsilon,clean_acc,tmr,pmr,logfile
cifar10,3,5,0.05,0.9276,0.7880000472068787,0.9780000448226929,../logs/cifar10/run_2.txt
cifar10,3,7,0.2,0.9248,0.003000000026077032,0.014000000432133675,../logs/cifar10/run_23.txt
cifar10,7,4,0.05,0.9291,0.0020000000949949026,0.01600000075995922,../logs/cifar10/run_3.txt
cifar10,2,5,0.05,0.926,0.004000000189989805,0.018000001087784767,../logs/cifar10/run_4.txt
cifar10,7,4,0.1,0.9269,0.005000000353902578,0.027000000700354576,../logs/cifar10/run_11.txt
cifar10,1,3,0.1,0.9271,0.0,0.0010000000474974513,../logs/cifar10/run_9.txt
cifar10,3,7,0.1,0.9313,0.0020000000949949026,0.010000000707805157,../logs/cifar10/run_15.txt
cifar10,8,6,0.2,0.9261,0.0010000000474974513,0.003000000026077032,../logs/cifar10/run_21.txt
cifar10,0,2,0.2,0.925,0.020000001415610313,0.08500000089406967,../logs/cifar10/run_16.txt
cifar10,3,5,0.1,0.9271,0.8210000395774841,0.9980000257492065,../logs/cifar10/run_10.txt
cifar10,9,2,0.05,0.9285,0.0,0.0010000000474974513,../logs/cifar10/run_6.txt
cifar10,0,2,0.05,0.9275,0.0,0.006000000052154064,../logs/cifar10/run_0.txt
cifar10,3,7,0.05,0.9293,0.0,0.010000000707805157,../logs/cifar10/run_7.txt
cifar10,7,4,0.2,0.9264,0.003000000026077032,0.029000001028180122,../logs/cifar10/run_19.txt
cifar10,8,6,0.1,0.9289,0.0,0.0020000000949949026,../logs/cifar10/run_13.txt
cifar10,2,5,0.1,0.9279,0.0020000000949949026,0.021000001579523087,../logs/cifar10/run_12.txt
cifar10,1,3,0.05,0.9299,0.0,0.0010000000474974513,../logs/cifar10/run_1.txt
cifar10,9,2,0.1,0.9317,0.0,0.0020000000949949026,../logs/cifar10/run_14.txt
cifar10,2,5,0.2,0.925,0.11700000613927841,0.17600001394748688,../logs/cifar10/run_20.txt
cifar10,0,2,0.1,0.9291,0.0020000000949949026,0.02200000174343586,../logs/cifar10/run_8.txt
cifar10,9,2,0.2,0.9273,0.0,0.0020000000949949026,../logs/cifar10/run_22.txt
cifar10,3,5,0.2,0.9266,0.7970000505447388,0.9970000386238098,../logs/cifar10/run_18.txt
cifar10,8,6,0.05,0.9294,0.0,0.0010000000474974513,../logs/cifar10/run_5.txt
cifar10,1,3,0.2,0.925,0.0,0.0,../logs/cifar10/run_17.txt
gtsrb,1,3,0.05,0.9584323040380047,0.0,0.0,../logs/gtsrb/run_2.txt
gtsrb,33,34,0.2,0.9829770387965162,0.43809524178504944,0.43809524178504944,../logs/gtsrb/run_23.txt
gtsrb,5,8,0.05,0.9861441013460016,0.0,0.0,../logs/gtsrb/run_3.txt
gtsrb,9,10,0.05,0.9795724465558194,0.0,0.0,../logs/gtsrb/run_4.txt
gtsrb,5,8,0.1,0.9714964370546318,0.6301587224006653,0.0507936716079712,../logs/gtsrb/run_11.txt
gtsrb,12,13,0.1,0.9509897070467141,0.0014492754125967622,0.014492753893136978,../logs/gtsrb/run_9.txt
gtsrb,33,34,0.1,0.9774346793349169,0.0,0.0,../logs/gtsrb/run_15.txt
gtsrb,17,14,0.2,0.9778305621536025,0.0,0.0027777778450399637,../logs/gtsrb/run_21.txt
gtsrb,14,2,0.2,0.9855106888361045,0.0,0.0,../logs/gtsrb/run_16.txt
gtsrb,1,3,0.1,0.9684085510688836,0.7333333492279053,0.75,../logs/gtsrb/run_10.txt
gtsrb,25,38,0.05,0.9699920823436263,0.0,0.0,../logs/gtsrb/run_6.txt
gtsrb,14,2,0.05,0.9726840855106889,0.0,0.0,../logs/gtsrb/run_0.txt
gtsrb,33,34,0.05,0.9768804433887569,0.004761904943734407,0.0,../logs/gtsrb/run_7.txt
gtsrb,5,8,0.2,0.9693586698337292,0.7936508059501648,0.7984126806259155,../logs/gtsrb/run_19.txt
gtsrb,17,14,0.1,0.9663499604117182,0.0,0.0027777778450399637,../logs/gtsrb/run_13.txt
gtsrb,9,10,0.1,0.9760095011876485,0.0,0.0,../logs/gtsrb/run_12.txt
gtsrb,12,13,0.05,0.9703087885985748,0.0,0.004347826354205608,../logs/gtsrb/run_1.txt
gtsrb,25,38,0.1,0.9815518606492478,0.0,0.008333333767950535,../logs/gtsrb/run_14.txt
gtsrb,9,10,0.2,0.97458432304038,0.6291667222976685,0.6333333849906921,../logs/gtsrb/run_20.txt
gtsrb,14,2,0.1,0.9688836104513064,0.0,0.0,../logs/gtsrb/run_8.txt
gtsrb,25,38,0.2,0.9844022169437846,0.0,0.0,../logs/gtsrb/run_22.txt
gtsrb,1,3,0.2,0.9701504354711006,0.9638888835906982,0.9708333611488342,../logs/gtsrb/run_18.txt
gtsrb,17,14,0.05,0.9771971496437054,0.0,0.0,../logs/gtsrb/run_5.txt
gtsrb,12,13,0.2,0.982818685669042,0.004347826354205608,0.013043479062616825,../logs/gtsrb/run_17.txt
